unique_id_num,tagging_date,unique_id,channel,tag_id,use,total_length,crew,tagger,year,date,time,date_time,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,time_frame,highest_signal,section,current_state,current_state_num,fate_detailed,fate_detailed_num,notes,tagging_location,life_history,tagging_habitat
1,9/23/2018,10-1,10,1,Y,667,"BC, HS",HS,2018,9/23/2018,,NA,0.1,0,NA,NA,0,0,64.91713,-151.49867,0_Tagging,NA,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
1,9/23/2018,10-1,10,1,Y,667,"BC, HS",HS,2019,1/27/2019,0.508056,01/27/2019 12:11:36,1,2,wing,False,156,5,64.57037,-148.990171,1_winter,True,Middle,alive,0,alive,0, ,Lower,mainstem,mainstem
1,9/23/2018,10-1,10,1,Y,667,"BC, HS",HS,2019,2/7/2019,0.468356,02/07/2019 11:14:26,2,2,wing,False,105,4,64.56775,-149.003832,1_winter,True,Middle,alive,0,alive,0, ,Lower,mainstem,mainstem
1,9/23/2018,10-1,10,1,Y,667,"BC, HS",HS,2019,5/18/2019,,5/18/2019 14:39,3,5,AMG,False,69,17,65.188687,-151.968033,2_spring,NA,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
1,9/23/2018,10-1,10,1,N,667,"BC, HS",HS,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,False,0,0,66.353461,-147.133225,3_summer,NA,Yukon,alive,0,alive,0,prob space noise around Beaver?,Lower,mainstem,mainstem
1,9/23/2018,10-1,10,1,Y,667,"BC, HS",HS,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,False,0,0,65.137845,-153.511192,4_fall,NA,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
2,9/26/2018,10-2,10,2,Y,657,"BC, HS",,2018,9/26/2018,,NA,0.1,0,NA,NA,0,0,64.97142,-150.47401,0_Tagging,NA,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
2,9/26/2018,10-2,10,2,Y,657,"BC, HS",,2019,1/27/2019,0.491713,01/27/2019 11:48:04,1,2,belly,False,125,3,64.725021,-149.155818,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
2,9/26/2018,10-2,10,2,Y,657,"BC, HS",,2019,2/7/2019,0.480961,02/07/2019 11:32:35,2,2,belly,True,247,13,64.718857,-149.149209,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
2,9/26/2018,10-2,10,2,N,657,"BC, HS",,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,False,0,0,66.353461,-147.133225,3_summer,NA,Yukon,alive,0,alive,0,prob space noise around Beaver?,Lower,mainstem,mainstem
2,9/26/2018,10-2,10,2,N,657,"BC, HS",,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,False,0,0,66.368385,-147.149015,4_fall,NA,Yukon,alive,0,alive,0,prob space noise around Beaver?,Lower,mainstem,mainstem
