helper__unique_id_num*date*lat*long,unique_id,unique_id_num,tagging_date,channel,tag_id,use,total_length,crew,tagger,year,date,time,date_time,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,time_frame,highest_signal,section,current_state,current_state_num,fate_detailed,fate_detailed_num,notes,tagging_location,life_history,tagging_habitat,spawning_use,spawning_season
1-43366-64.91713-151.49867,10-1,1,9/23/2018,10,1,Y,667,"BC, HS",HS,2018,9/23/2018,,NA,0.1,0,NA,NA,0,0,64.91713,-151.49867,0_Tagging,NA,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,,
1-43492-64.57037-148.990171,10-1,1,9/23/2018,10,1,Y,667,"BC, HS",HS,2019,1/27/2019,0.508056,1/27/2019 12:11,1,2,wing,FALSE,156,5,64.57037,-148.990171,1_winter,TRUE,Middle,alive,0,alive,0,,Lower,mainstem,mainstem,Y,2018_2019
1-43503-64.56775-149.003832,10-1,1,9/23/2018,10,1,Y,667,"BC, HS",HS,2019,2/7/2019,0.468356,2/7/2019 11:14,2,2,wing,FALSE,105,4,64.56775,-149.003832,1_winter,TRUE,Middle,alive,0,alive,0,,Lower,mainstem,mainstem,N,2018_2019
1-43603-65.188687-151.968033,10-1,1,9/23/2018,10,1,Y,667,"BC, HS",HS,2019,5/18/2019,,5/18/2019 14:39,3,5,AMG,FALSE,69,17,65.188687,-151.968033,2_spring,NA,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
1-43648-66.353461-147.133225,10-1,1,9/23/2018,10,1,N,667,"BC, HS",HS,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,FALSE,0,0,66.353461,-147.133225,3_summer,NA,Yukon,alive,0,alive,0,prob space noise around Beaver?,Lower,mainstem,mainstem,,
1-43743-65.137845-153.511192,10-1,1,9/23/2018,10,1,Y,667,"BC, HS",HS,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,FALSE,0,0,65.137845,-153.511192,4_fall,NA,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
2-43369-64.97142-150.47401,10-2,2,9/26/2018,10,2,Y,657,"BC, HS",,2018,9/26/2018,,NA,0.1,0,NA,NA,0,0,64.97142,-150.47401,0_Tagging,NA,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,,
2-43492-64.725021-149.155818,10-2,2,9/26/2018,10,2,Y,657,"BC, HS",,2019,1/27/2019,0.491713,1/27/2019 11:48,1,2,belly,FALSE,125,3,64.725021,-149.155818,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,Y,2018_2019
2-43503-64.718857-149.149209,10-2,2,9/26/2018,10,2,Y,657,"BC, HS",,2019,2/7/2019,0.480961,2/7/2019 11:32,2,2,belly,TRUE,247,13,64.718857,-149.149209,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,N,2018_2019
2-43648-66.353461-147.133225,10-2,2,9/26/2018,10,2,N,657,"BC, HS",,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,FALSE,0,0,66.353461,-147.133225,3_summer,NA,Yukon,alive,0,alive,0,prob space noise around Beaver?,Lower,mainstem,mainstem,,
2-43743-66.368385-147.149015,10-2,2,9/26/2018,10,2,N,657,"BC, HS",,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,FALSE,0,0,66.368385,-147.149015,4_fall,NA,Yukon,alive,0,alive,0,prob space noise around Beaver?,Lower,mainstem,mainstem,,
3-43369-64.9789-150.81401,10-3,3,9/26/2018,10,3,Y,845,"BC, HS",,2018,9/26/2018,,NA,0.1,0,NA,NA,0,0,64.9789,-150.81401,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
3-43492-64.971556-150.588242,10-3,3,9/26/2018,10,3,Y,845,"BC, HS",,2019,1/27/2019,0.471759,1/27/2019 11:19,1,2,wing,TRUE,255,10,64.971556,-150.588242,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,Y,2018_2019
3-43501-64.969473-150.614354,10-3,3,9/26/2018,10,3,Y,845,"BC, HS",,2019,2/5/2019,0.602292,2/5/2019 14:27,2,1,belly,TRUE,255,34,64.969473,-150.614354,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2018_2019
3-43584-64.971464-150.591926,10-3,3,9/26/2018,10,3,Y,845,"BC, HS",,2019,4/29/2019,,4/29/2023,2.5,5,Yukon belly,TRUE,0,0,64.971464,-150.591926,2_spring,NA,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
4-43366-64.91713-151.49867,10-4,4,9/23/2018,10,4,Y,814,"AG, KD, MM",,2018,9/23/2018,,NA,0.1,0,NA,NA,0,0,64.91713,-151.49867,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
4-43492-64.896828-151.445244,10-4,4,9/23/2018,10,4,Y,814,"AG, KD, MM",,2019,1/27/2019,0.443773,1/27/2019 10:39,1,2,belly,FALSE,141,2,64.896828,-151.445244,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,Y,2018_2019
4-43501-64.901424-151.447877,10-4,4,9/23/2018,10,4,Y,814,"AG, KD, MM",,2019,2/5/2019,0.585475,2/5/2019 14:03,2,1,belly,FALSE,219,10,64.901424,-151.447877,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,N,2018_2019
4-43584-64.893537-151.446524,10-4,4,9/23/2018,10,4,Y,814,"AG, KD, MM",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,TRUE,0,0,64.893537,-151.446524,2_spring,NA,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
4-43869-64.889182-151.437702,10-4,4,9/23/2018,10,4,Y,814,"AG, KD, MM",,2020,2/8/2020,0.529051,2/8/2020 12:41,8,2,wing,TRUE,59,2,64.889182,-151.437702,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,Y,2019_2020
5-43369-64.9789-150.81401,10-5,5,9/26/2018,10,5,Y,630,"LG, DF",,2018,9/26/2018,,NA,0.1,0,NA,alive,0,0,64.9789,-150.81401,0_Tagging,NA,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,,
5-43584-65.17656-153.070942,10-5,5,9/26/2018,10,5,Y,630,"LG, DF",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,TRUE,0,0,65.17656,-153.070942,2_spring,,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
5-43648-64.946553-154.387895,10-5,5,9/26/2018,10,5,Y,630,"LG, DF",,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,FALSE,0,0,64.946553,-154.387895,3_summer,NA,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
5-43716-64.707781-156.741282,10-5,5,9/26/2018,10,5,N,630,"LG, DF",,2019,9/8/2019,,9/8/2019 20:26,4.5,5,AMG,FALSE,78,14,64.707781,-156.741282,4_fall,NA,Yukon,alive,0,alive,0,"Galena tracking station. These points are legit, however don't trust that this fish wasn't dying or not braindead. Only moving downriver.",Lower,mainstem,mainstem,,
5-43743-62.636972-160.163152,10-5,5,9/26/2018,10,5,N,630,"LG, DF",,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,FALSE,0,0,62.636972,-160.163152,4_fall,,Yukon,alive,0,alive,0,"These points are legit, however don't trust that this fish wasn't dying or not braindead. Only moving downriver.",Lower,mainstem,mainstem,,
6-43367-64.89774-151.26482,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.89774,-151.26482,0_Tagging,NA,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,,
6-43492-64.967264-150.649972,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2019,1/27/2019,0.461921,1/27/2019 11:05,1,2,belly,FALSE,204,5,64.967264,-150.649972,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,Y,2018_2019
