unique_id_num,unique_id,date_tagged,tagging_crew,tagger,use,total_length,year,date_detected,time_detected,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,highest_signal,current_fate,current_fate_num,fate_detailed,fate_detailed_num,final_fate_simplified,notes,tagging_section,survey_section,season,season_use,spawning_season,tagging_habitat,life_history,section_most_occupied,homerange,cumulative_distance_traveled,cumulative_distance_traveled_per_obs,mean_upriver_position,,unique_id_num,unique_id,time_detected
1,10-1,9/23/2018,"BC, HS",HS,Y,667,2018,9/23/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.91713,-151.49867,NA,alive,0,alive,0,Alive,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Yukon,,,,,,1,10-1,12:00:00 AM
1,10-1,9/23/2018,"BC, HS",HS,Y,667,2019,1/27/2019,12:11:36 PM,1,2,wing,FALSE,156,5,64.57037,-148.990171,TRUE,alive,0,alive,0,Alive,,Lower,Middle,1_winter,Y,2018_2019,mainstem,mainstem,Yukon,,,,,,1,10-1,12:11:36 PM
1,10-1,9/23/2018,"BC, HS",HS,Y,667,2019,2/7/2019,11:14:25 AM,2,2,wing,FALSE,105,4,64.56775,-149.003832,TRUE,alive,0,alive,0,Alive,,Lower,Middle,1_winter,N,2018_2019,mainstem,mainstem,Yukon,,,,,,1,10-1,11:14:25 AM
1,10-1,9/23/2018,"BC, HS",HS,Y,667,2019,5/18/2019,12:00:00 AM,3,5,AMG,FALSE,69,17,65.188687,-151.968033,NA,alive,0,alive,0,Alive,,Lower,Yukon,2_spring,Y,,mainstem,mainstem,Yukon,,,,,,1,10-1,12:00:00 AM
1,10-1,9/23/2018,"BC, HS",HS,N,667,2019,7/2/2019,12:00:00 AM,3.5,5,Yukon belly,FALSE,0,0,66.353461,-147.133225,NA,alive,0,alive,0,Alive,prob space noise around Beaver?,Lower,Yukon,3_summer,Y,,mainstem,mainstem,Yukon,,,,,,1,10-1,12:00:00 AM
1,10-1,9/23/2018,"BC, HS",HS,Y,667,2019,10/5/2019,12:00:00 AM,5,5,Yukon belly,FALSE,0,0,65.137845,-153.511192,NA,alive,0,alive,0,Alive,,Lower,Yukon,4_fall,Y,,mainstem,mainstem,Yukon,,,,,,1,10-1,12:00:00 AM
2,10-2,9/26/2018,"BC, HS",,Y,657,2018,9/26/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.97142,-150.47401,NA,alive,0,alive,0,Alive,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Lower,,,,,,2,10-2,12:00:00 AM
2,10-2,9/26/2018,"BC, HS",,Y,657,2019,1/27/2019,11:48:04 AM,1,2,belly,FALSE,125,3,64.725021,-149.155818,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,Y,2018_2019,mainstem,mainstem,Lower,,,,,,2,10-2,11:48:04 AM
2,10-2,9/26/2018,"BC, HS",,Y,657,2019,2/7/2019,11:32:35 AM,2,2,belly,TRUE,247,13,64.718857,-149.149209,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,N,2018_2019,mainstem,mainstem,Lower,,,,,,2,10-2,11:32:35 AM
2,10-2,9/26/2018,"BC, HS",,N,657,2019,7/2/2019,12:00:00 AM,3.5,5,Yukon belly,FALSE,0,0,66.353461,-147.133225,NA,alive,0,alive,0,Alive,prob space noise around Beaver?,Lower,Yukon,3_summer,Y,,mainstem,mainstem,Lower,,,,,,2,10-2,12:00:00 AM
