"","n","min","max","mn","SD","SE","min","max","mn","SD","SE"
"0.1 to 1",97,0.27,244.92,58.27,66.77,6.78,-115.59,244.92,42.51,77.86,7.91
"1 to 2",89,0,183.63,13.93,33.78,3.58,-183.63,62.35,-9.32,35.35,3.75
"2 to 3",53,0.31,268.53,56.08,67.37,9.25,-268.53,68.35,-49.58,72.39,9.94
"3 to 4",118,0,114.38,13.74,17.5,1.61,-114.38,72.95,-6.48,21.31,1.96
"4 to 5",64,0,205.34,20.18,32.43,4.05,-205.34,115.25,3.38,38.12,4.76
"5 to 6",62,0,275.56,33.06,46.33,5.88,-79.23,275.56,23.82,51.77,6.57
"6 to 7",69,0,139.83,22.87,33.7,4.06,-62.34,139.83,13.15,38.61,4.65
"7 to 8",70,0,156.46,19.25,34.09,4.07,-156.46,57.02,-6.09,38.74,4.63
"8 to 9",47,0.25,238.81,49.22,58.02,8.46,-238.81,238.35,-19.88,73.74,10.76
"9 to 10",31,0.32,248.5,13.56,44.16,7.93,-248.5,22.11,-5.59,45.91,8.25
"10 to 11",32,0.41,350.29,38,73.81,13.05,-223.05,350.29,7.41,82.95,14.66
"11 to 12",31,0.87,168.86,47.49,54.05,9.71,-126.32,168.86,29.88,65.8,11.82
"12 to 13",31,0,76.95,11.63,19.16,3.44,-51.91,76.95,2.94,22.32,4.01
